"lokalisationnummer","lokalisationsname","status","status_txt","lokalisation_art","lokalisation_art_txt","lokalisation_koord_ost","lokalisation_koord_nord","objid","lokalisation_ori","geometry"
"1037","Jucheggstrasse","1","real","1","Strasse","2680978.88","1244563.112","9","52.3","POINT (2680979 1244563.1)"
"176","Baumschulweg","1","real","1","Strasse","2680840.713","1244504.953","10","341.2","POINT (2680840.8 1244505)"
"1356","Meierholzstrasse","1","real","1","Strasse","2681102.945","1244705.689","12","275.2","POINT (2681103 1244705.8)"
"2108","Waidmattweg","1","real","1","Strasse","2681364.276","1244822.239","16","70.0","POINT (2681364.2 1244822.2)"
"1504","Ostbühlstrasse","1","real","1","Strasse","2682985.613","1242922.096","20","310.3","POINT (2682985.5 1242922.1)"
"2178","Westbühlstrasse","1","real","1","Strasse","2682926.185","1242805.558","21","290.5","POINT (2682926.2 1242805.5)"
"1824","Seeblickstrasse","1","real","1","Strasse","2682973.415","1243371.446","22","309.0","POINT (2682973.5 1243371.5)"
"852","Hesenlooweg","1","real","1","Strasse","2682021.015","1243677.205","23","9.7","POINT (2682021 1243677.2)"
"955","Im Bergdörfli","1","real","1","Strasse","2682013.959","1243586.789","26","274.2","POINT (2682014 1243586.8)"
"285","Brugghölzliweg","1","real","1","Strasse","2682067.674","1243323.169","28","316.0","POINT (2682067.8 1243323.1)"
"1825","Seeblickweg","1","real","1","Strasse","2683040.586","1243317.453","30","35.6","POINT (2683040.5 1243317.5)"
"477","Entlisbergstrasse","1","real","1","Strasse","2682084.281","1243662.7","50","277.1","POINT (2682084.2 1243662.8)"
"2275","Zwängiweg","1","real","1","Strasse","2682830.313","1242712.102","51","3.0","POINT (2682830.2 1242712.1)"
"1452","Nidelbadstrasse","1","real","1","Strasse","2682937.495","1242882.404","52","314.7","POINT (2682937.5 1242882.4)"
"1520","Paradiesstrasse","1","real","1","Strasse","2682382.584","1243249.087","55","344.0","POINT (2682382.5 1243249.1)"
"1739","Scheideggstrasse","1","real","1","Strasse","2682417.701","1244921.627","119","281.9","POINT (2682417.8 1244921.6)"
"2177","Wernerstrasse","1","real","1","Strasse","2682278.598","1244089.55","158","36.5","POINT (2682278.5 1244089.5)"
"1363","Meisenweg","1","real","1","Strasse","2682318.125","1244006.243","159","311.0","POINT (2682318 1244006.2)"
"410","Drosselstrasse","1","real","1","Strasse","2682178.12","1243982.864","160","291.0","POINT (2682178 1243982.9)"
"212","Besenrainstrasse","1","real","1","Strasse","2682260.54","1244391.009","161","285.1","POINT (2682260.5 1244391)"
"1391","Mööslistrasse","1","real","1","Strasse","2682370.408","1244403.692","162","23.3","POINT (2682370.5 1244403.8)"
"459","Elfenweg","1","real","1","Strasse","2682041.416","1244794.491","163","46.0","POINT (2682041.5 1244794.5)"
"2015","Thujastrasse","1","real","1","Strasse","2682112.017","1244731.445","165","39.3","POINT (2682112 1244731.5)"
