"poi_id","glas","metall","oel","textilien","standort_id","behindertengerecht"
"sa42863","X","X","","X","42863",""
"sa42861","X","X","X","X","42861","X"
"sa42864","X","X","X","X","42864","X"
"sa41375","X","X","","X","41375","X"
"sa64343","X","X","","X","64343",""
"sa59038","X","X","","","59038","X"
"sa42886","X","X","X","X","42886","X"
"sa43044","X","X","","X","43044",""
"sa42963","X","X","","","42963",""
"sa42973","X","X","X","X","42973",""
"sa42976","X","X","","X","42976",""
"sa61106","X","X","","X","61106",""
"sa42974","X","X","X","X","42974","X"
"sa42975","X","X","X","X","42975",""
"sa42977","X","X","","X","42977",""
"sa42987","X","X","","","42987","X"
"sa42900","X","X","X","X","42900",""
"sa42833","X","X","","X","42833","X"
"sa42827","X","X","","X","42827","X"
"sa42819","X","X","X","X","42819",""
"sa42821","X","X","","X","42821","X"
"sa42818","X","X","","X","42818","X"
"sa42964","X","X","","X","42964","X"
"sa66265","X","X","","X","66265","X"
"sa42969","X","X","","X","42969",""
"sa42967","X","X","","X","42967",""
"sa45704","X","X","X","X","45704","X"
"sa42885","X","X","","X","42885",""
"sa42811","X","X","","X","42811",""
"sa42810","X","X","X","X","42810",""
"sa42966","X","X","X","X","42966",""
"sa42858","X","X","","X","42858",""
"sa42965","X","X","","X","42965","X"
"sa45705","X","X","","X","45705","X"
"sa65124","X","X","","X","65124","X"
"sa42836","X","X","","X","42836",""
"sa42968","X","X","X","X","42968","X"
"sa42860","X","X","","X","42860","X"
"sa42971","X","X","","X","42971","X"
"sa42970","X","X","","X","42970","X"
"sa42915","X","X","X","X","42915",""
"sa42917","X","X","","X","42917",""
"sa42922","X","X","","X","42922",""
"sa62111","X","X","","X","62111","X"
"sa42916","X","X","","X","42916",""
"sa66768","X","X","","X","66768","X"
"sa42923","X","X","","X","42923","X"
"sa42933","X","X","","X","42933",""
"sa42934","X","X","","X","42934",""
"sa42921","X","X","X","X","42921",""
"sa42930","X","X","","X","42930","X"
"sa43042","X","X","","X","43042",""
"sa42817","X","X","X","X","42817",""
"sa66450","X","X","","X","66450",""
"sa61042","X","X","","X","61042",""
"sa43034","X","X","X","X","43034",""
"sa43035","X","X","X","X","43035",""
"sa42824","X","X","","X","42824",""
"sa42826","X","X","","X","42826",""
"sa42825","X","X","","X","42825",""
"sa42889","X","X","","X","42889",""
"sa67515","X","X","","X","67515",""
"sa42890","X","X","","","42890","X"
"sa43046","X","X","","X","43046",""
"sa42891","X","X","","X","42891","X"
"sa65070","X","X","","X","65070","X"
"sa43041","X","X","X","X","43041",""
"sa67429","X","X","","X","67429",""
"sa66749","X","X","","","66749",""
"sa43038","X","X","","X","43038",""
"sa42888","X","X","","X","42888","X"
"sa42822","X","X","","X","42822",""
"sa42887","X","X","X","X","42887","X"
"sa42823","X","X","X","X","42823",""
"sa42901","X","X","X","X","42901",""
"sa42905","X","X","","X","42905",""
"sa42902","X","X","X","X","42902","X"
"sa42903","X","X","","X","42903",""
"sa46858","X","","","","46858",""
"sa46864","X","","","","46864",""
"sa42906","X","X","","X","42906","X"
"sa42624","X","X","X","X","42624","X"
"sa42907","X","X","X","X","42907",""
"sa66328","X","X","","X","66328","X"
"sa60840","X","X","","X","60840","X"
"sa42808","X","X","","X","42808",""
"sa42908","X","X","X","X","42908",""
"sa42911","X","X","","X","42911",""
"sa42910","X","X","","","42910",""
"sa43032","X","X","","X","43032","X"
"sa42909","X","X","X","X","42909",""
"sa42912","X","X","","X","42912",""
"sa42806","X","X","","X","42806","X"
"sa42785","X","X","","X","42785","X"
"sa42809","X","X","","X","42809",""
"sa61198","X","X","","X","61198",""
"sa42913","X","X","","X","42913",""
"sa42985","X","X","","X","42985",""
"sa43027","X","X","X","X","43027",""
"sa43029","X","X","","","43029","X"
