"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","metall","glas","oel","textilien","standort_id","behindertengerecht","geometry"
"","Dörflistrasse 90","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Dörflistasse 90 vis-à-vis Stadthof 11","","4266","","","","","","","","","","","","","","","Zürich","8050","sa61203","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","61203","","POINT Z (2683834.8 1251597.9 0)"
"","Regensbergstrasse 30","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Regensbergstrasse vis-à-vis 30","","4267","","","","","","","","","","","","","","","Zürich","8050","sa43022","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","43022","","POINT Z (2684209 1251024.9 0)"
"","Hagenholzstrasse 110","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Hagenholzstrasse 110","","4268","","","","","","","","","","","","","","","Zürich","8050","sa43036","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","43036","X","POINT Z (2684920 1252240.9 0)"
"","Neunbrunnenstrasse 60","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Neunbrunnenstrasse 60","","4269","","","","","","","","","","","","","","","Zürich","8050","sa42918","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","","42918","X","POINT Z (2682899 1252385.9 0)"
"","Opfikonstrasse 18","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Opfikonstrasse 18","","4270","","","","","","","","","","","","","","","Zürich","8050","sa43039","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","43039","","POINT Z (2685542 1252027.9 0)"
"","Tramstrasse 208","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Tramstrasse vis-à-vis 208","","4271","","","","","","","","","","","","","","","Zürich","8050","sa43040","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","43040","","POINT Z (2684762 1251446.9 0)"
"","Binzmühlestrasse 210","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Binzmühlestrasse 210","","4272","","","","","","","","","","","","","","","Zürich","8050","sa43012","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","43012","X","POINT Z (2682424 1251980.9 0)"
"","Meinrad-Lienert-Strasse 1","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Meinrad-Lienert-Strasse vis-à-vis 1","","4273","","","","","","","","","","","","","","","Zürich","8003","sa42829","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42829","","POINT Z (2681600 1247594.8 0)"
"","Seebahnstrasse 89","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Seebahnstrasse 89 vis-à-vis Post","","4274","","","","","","","","","","","","","","","Zürich","8003","sa42828","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42828","","POINT Z (2681837.8 1247328.4 0)"
"","Käferholzstrasse 44","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Käferholzstrasse 44","","4275","","","","","","","","","","","","","","","Zürich","8037","sa42920","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42920","","POINT Z (2682414.2 1250771.4 0)"
"","Moussonstrasse 22","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Moussonstrasse 22","","4276","","","","","","","","","","","","","","","Zürich","8044","sa42936","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42936","","POINT Z (2684296 1247902.9 0)"
"","Weihersteig 7","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Weihersteig 7","","4277","","","","","","","","","","","","","","","Zürich","8037","sa43001","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","43001","","POINT Z (2682187 1250162.9 0)"
"","Aegertenstrasse 16","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Aegertenstrasse vis-à-vis 16","","4278","","","","","","","","","","","","","","","Zürich","8003","sa41374","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","41374","X","POINT Z (2681904.2 1247020 0)"
"","Riedenhaldenstrasse 280","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Riedenhaldenstrasse 280","","4279","","","","","","","","","","","","","","","Zürich","8046","sa43005","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","43005","X","POINT Z (2680801 1252748.9 0)"
"","Wehntalerstrasse 440","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Wehntalerstrasse 440","","4310","","","","","","","","","","","","","","","Zürich","8046","sa43047","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","43047","X","POINT Z (2681143 1252192.9 0)"
"","General-Guisan-Quai 31","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","General-Guisan-Quai 31","","4311","","","","","","","","","","","","","","","Zürich","8002","sa46865","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","","X","","","46865","","POINT Z (2682949.5 1246513 0)"
"","Mythenquai 1","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Mythenquai 1","","4312","","","","","","","","","","","","","","","Zürich","8002","sa46856","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","","X","","","46856","","POINT Z (2682863.8 1246295.9 0)"
"","General-Guisan-Quai 37","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","General-Guisan-Quai 37","","4313","","","","","","","","","","","","","","","Zürich","8002","sa46855","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","","X","","","46855","","POINT Z (2682866.5 1246445.6 0)"
"","Mythenquai 21","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Mythenquai 21","","4314","","","","","","","","","","","","","","","Zürich","8002","sa46857","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","","X","","","46857","","POINT Z (2682894.5 1246167.5 0)"
"","Schwandenholzstrasse 194","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Schwandenholzstrasse 194","","4315","","","","","","","","","","","","","","","Zürich","8046","sa46793","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","46793","X","POINT Z (2681828.5 1253124.5 0)"
"","Brunaustrasse 6","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Brunaustrasse 6","","4316","","","","","","","","","","","","","","","Zürich","8002","sa42815","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42815","","POINT Z (2682608 1245666.9 0)"
"","Hardturmstrasse 126","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Hardturmstrasse 126","","4317","","","","","","","","","","","","","","","Zürich","8005","sa42888","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42888","X","POINT Z (2681100.5 1249780.5 0)"
"","Bachtobelstrasse 10","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Bachtobelstr. vis-à-vis 10","","4318","","","","","","","","","","","","","","","Zürich","8045","sa42822","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42822","","POINT Z (2681464 1246164.9 0)"
"","Heinrichstrasse 200","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Heinrichstrasse 200 unter Viadukt","","4319","","","","","","","","","","","","","","","Zürich","8005","sa42887","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42887","X","POINT Z (2682079 1249081.9 0)"
"","Schweighofstrasse 357","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Schweighofstr. 357","","4320","","","","","","","","","","","","","","","Zürich","8055","sa42823","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42823","","POINT Z (2680345 1246573.9 0)"
"","Birmensdorferstrasse 488","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Birmensdorferstr. 488","","4321","","","","","","","","","","","","","","","Zürich","8055","sa42901","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42901","","POINT Z (2679862 1246960.9 0)"
"","Letzigraben 104","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Letzigraben 104","","4322","","","","","","","","","","","","","","","Zürich","8047","sa42905","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42905","","POINT Z (2680025.2 1247939 0)"
"","Albisriederstrasse 334","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Albisriederstrasse 334","","4323","","","","","","","","","","","","","","","Zürich","8047","sa42902","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42902","X","POINT Z (2679200 1247754.9 0)"
"","Triemlistrasse 22","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Triemlistrasse 22","","4356","","","","","","","","","","","","","","","Zürich","8047","sa42903","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42903","","POINT Z (2678965 1247488.9 0)"
"","Mythenquai 317","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Mythenquai 317","","4357","","","","","","","","","","","","","","","Zürich","8038","sa46858","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","","X","","","46858","","POINT Z (2682863.5 1244796.6 0)"
"","Mythenquai 307","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Mythenquai 307","","4358","","","","","","","","","","","","","","","Zürich","8038","sa46864","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","","X","","","46864","","POINT Z (2682897.8 1245054.1 0)"
"","Mühlezelgstrasse 1a","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Mühlezelgstrasse 1a","","4359","","","","","","","","","","","","","","","Zürich","8047","sa42906","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42906","X","POINT Z (2679882 1247733.9 0)"
